Complemento Histórico	Data da Liquidação	Número de Liquidação	Valor Estornado	Valor Liquidado	credor	empenho
Pagamento referente a NFE nº 00115983.	24/09/2015	8724	-	R$ 29.000,00	262 VIDEO LOCADORA, PRODUÇÕES E SERVIÇOS GERAIS LT	000136
Complemento Histórico	Data da Liquidação	Número de Liquidação	Valor Estornado	Valor Liquidado	credor	empenho
REF.LOCAÇÃO DE STAND NA FEIRA DE RESPONSABILIDADE SOCIAL	21/05/2015	3046	-	R$ 3.762,00	8 CULT ART, VIDEO E REALIZAÇÃO LTDA	000021
Complemento Histórico	Data da Liquidação	Número de Liquidação	Valor Estornado	Valor Liquidado	credor	empenho
NFS-e 000127 DE 18/05/2015, DE ACORDO COM QUADRO DETALHAMENTO LIQUIDAÇÃ DE DESPESA N° 0076/2015, EM ANEXO.	01/07/2015	5161	-	R$ 6.768,00	8 CULT ARTE VIDEO E REALIZAÇOES LTDA	000047
