Complemento Histórico	Data do Pagamento	Número de liquidação	Número do Pagamento	Valor Estornado	Valor Pago	credor	empenho
SISBB 092401 - CONTR. DE ORQUESTRA PARA FESTIVAL NO SANA - FORN. 262 VIDEO LOCADORA - NF 115983 - PROC. 327/2015.	24/09/2015	8724	8731	-	R$ 29.000,00	262 VIDEO LOCADORA, PRODUÇÕES E SERVIÇOS GERAIS LT	000136
Complemento Histórico	Data do Pagamento	Número de liquidação	Número do Pagamento	Valor Estornado	Valor Pago	credor	empenho
REF. LOCAÇÃO STAND FEIRA RESPONSABILIDADE SOCIAL	21/05/2015	3046	3183	-	R$ 3.762,00	8 CULT ART, VIDEO E REALIZAÇÃO LTDA	000021
Complemento Histórico	Data do Pagamento	Número de liquidação	Número do Pagamento	Valor Estornado	Valor Pago	credor	empenho
AUT SISBB 6C755CC4D8004AC2, PG 8 CULT ARTE VIDEIO E REALIZAÇÕES LTDA, NFS-e 000127, REF. LOCAÇÃO DE ESTANDE COM MOBILIÁRIO NA 8ª FEIRA DE RESPONSABILIDADE SOCIAL E EMPRESARIAL BACIA DE CAMPOS. PROC. 0038/2015	01/07/2015	5161	5168	-	R$ 6.768,00	8 CULT ARTE VIDEO E REALIZAÇOES LTDA	000047
